date,time,ticker,stream,side,qty,entry,exit,gross_pnl,commission,net_pnl,structure,status,notes
2026-06-10,083316,SNDK,Stream 1,LONG,1.0,1760.47,1630.0,-130.47000000000003,-0.10163045,-130.57163045000001,STK,CLOSED,LONG matched via FIFO (opened 2026-06-09)
2026-06-10,083316,SNDK,Stream 1,LONG,3.0,1685.0,1630.0,-165.0,-0.5336609075,-165.5336609075,STK,CLOSED,LONG matched via FIFO (opened 2026-06-09)
2026-06-10,083316,SNDK,Stream 1,LONG,6.0,1685.0,1630.0,-330.0,-0.2751305205,-330.2751305205,STK,CLOSED,LONG matched via FIFO (opened 2026-06-09)
2026-06-10,094109,SNDK,Stream 2,LONG,1.0,1685.0,1628.0,-57.0,-0.10588925,-57.10588925,STK,CLOSED,LONG matched via FIFO (opened 2026-06-09)
2026-06-10,094109,SNDK,Stream 2,LONG,4.0,1600.0,1628.0,112.0,-0.524355,111.475645,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,094352,SNDK,Stream 2,LONG,3.0,1600.0,1648.0,144.0,-0.45611399999999996,143.543886,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,094352,SNDK,Stream 2,LONG,2.0,1600.0,1648.0,96.0,-0.08028460000000001,95.9197154,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,101034,SNDK,Stream 2,LONG,1.0,1600.0,1711.05,111.04999999999995,-0.069574355,110.98042564499995,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,101034,SNDK,Stream 2,LONG,9.0,1618.0,1711.05,837.4499999999996,-0.9128222255,836.5371777744996,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,102950,SNDK,Stream 2,LONG,1.0,1618.0,1750.0,132.0,-0.10410245,131.89589755,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,102950,SNDK,Stream 2,LONG,4.0,1681.0,1750.0,276.0,-0.47755314000000004,275.52244686,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,103454,SNDK,Stream 2,LONG,5.0,1681.0,1758.0,385.0,-0.702964875,384.297035125,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,105921,SNDK,Stream 2,LONG,1.0,1681.0,1700.0,19.0,-0.10437244999999999,18.89562755,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,105921,SNDK,Stream 2,LONG,9.0,1733.02,1700.0,-297.17999999999984,-0.8654226975000001,-298.0454226974998,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,112106,SNDK,Stream 1,LONG,1.0,1733.02,1675.0,-58.01999999999998,-0.10644919722222221,-58.12644919722221,STK,CLOSED,LONG matched via FIFO (opened 2026-06-10)
2026-06-10,112419,SNDK,Stream 1,SHORT,8.0,1675.0,1679.0,-32.0,-0.8515935777777777,-32.85159357777778,STK,CLOSED,SHORT Cover matched via FIFO (opened 2026-06-10)
2026-06-10,112419,SNDK,Stream 1,SHORT,1.0,1675.0,1679.0,-4.0,-0.040388745000000004,-4.040388745,STK,CLOSED,SHORT Cover matched via FIFO (opened 2026-06-10)
